sku,nombre,familia,sabor,linea,peso_base_g,figurita_requerida,figura_item,peso_figura_g,ruta,momento_descuento,conservacion,modo_stock,estado,activo_lanzamiento,nota
MCK-MBI-270,Momo Cake Mango biche,Momo Cake,Mango biche,Frutal,270,SI,FIG-HOR-MBI,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-COC-270,Momo Cake Coco,Momo Cake,Coco,Frutal,270,SI,FIG-HOR-COC,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-MAR-270,Momo Cake Maracuyá,Momo Cake,Maracuyá,Frutal,270,SI,FIG-HOR-MAR,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-LIM-270,Momo Cake Limón,Momo Cake,Limón,Frutal,270,SI,FIG-HOR-LIM,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-BAN-270,Momo Cake Banano,Momo Cake,Banano,Frutal,270,SI,FIG-HOR-BAN,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-DUR-270,Momo Cake Durazno,Momo Cake,Durazno,Frutal,270,SI,FIG-HOR-DUR,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-MNM-270,Momo Cake M&M,Momo Cake,M&M,Cremosa,270,SI,FIG-HOR-MNM,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-ORE-270,Momo Cake Oreo,Momo Cake,Oreo,Cremosa,270,SI,FIG-HOR-ORE,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-CSL-270,Momo Cake Caramelo salado,Momo Cake,Caramelo salado,Cremosa,270,SI,FIG-HOR-CSL,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-NUT-270,Momo Cake Nutella,Momo Cake,Nutella,Cremosa,270,SI,FIG-HOR-NUT,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-MIL-270,Momo Cake Milo,Momo Cake,Milo,Cremosa,270,SI,FIG-HOR-MIL,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-MBI-270,Cheesecake Mango biche,Cheesecake,Mango biche,Frutal,270,SI,FIG-HOR-MBI,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-COC-270,Cheesecake Coco,Cheesecake,Coco,Frutal,270,SI,FIG-HOR-COC,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-MAR-270,Cheesecake Maracuyá,Cheesecake,Maracuyá,Frutal,270,SI,FIG-HOR-MAR,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-LIM-270,Cheesecake Limón,Cheesecake,Limón,Frutal,270,SI,FIG-HOR-LIM,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-BAN-270,Cheesecake Banano,Cheesecake,Banano,Frutal,270,SI,FIG-HOR-BAN,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-DUR-270,Cheesecake Durazno,Cheesecake,Durazno,Frutal,270,SI,FIG-HOR-DUR,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-MNM-270,Cheesecake M&M,Cheesecake,M&M,Cremosa,270,SI,FIG-HOR-MNM,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-ORE-270,Cheesecake Oreo,Cheesecake,Oreo,Cremosa,270,SI,FIG-HOR-ORE,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-CSL-270,Cheesecake Caramelo salado,Cheesecake,Caramelo salado,Cremosa,270,SI,FIG-HOR-CSL,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-NUT-270,Cheesecake Nutella,Cheesecake,Nutella,Cremosa,270,SI,FIG-HOR-NUT,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-MIL-270,Cheesecake Milo,Cheesecake,Milo,Cremosa,270,SI,FIG-HOR-MIL,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-MBI-270,Pavé MOMOS Mango biche,Pavé MOMOS,Mango biche,Frutal,270,SI,FIG-HOR-MBI,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-COC-270,Pavé MOMOS Coco,Pavé MOMOS,Coco,Frutal,270,SI,FIG-HOR-COC,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-MAR-270,Pavé MOMOS Maracuyá,Pavé MOMOS,Maracuyá,Frutal,270,SI,FIG-HOR-MAR,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-LIM-270,Pavé MOMOS Limón,Pavé MOMOS,Limón,Frutal,270,SI,FIG-HOR-LIM,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-BAN-270,Pavé MOMOS Banano,Pavé MOMOS,Banano,Frutal,270,SI,FIG-HOR-BAN,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-DUR-270,Pavé MOMOS Durazno,Pavé MOMOS,Durazno,Frutal,270,SI,FIG-HOR-DUR,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-MNM-270,Pavé MOMOS M&M,Pavé MOMOS,M&M,Cremosa,270,SI,FIG-HOR-MNM,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-ORE-270,Pavé MOMOS Oreo,Pavé MOMOS,Oreo,Cremosa,270,SI,FIG-HOR-ORE,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-CSL-270,Pavé MOMOS Caramelo salado,Pavé MOMOS,Caramelo salado,Cremosa,270,SI,FIG-HOR-CSL,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-NUT-270,Pavé MOMOS Nutella,Pavé MOMOS,Nutella,Cremosa,270,SI,FIG-HOR-NUT,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
PAV-MIL-270,Pavé MOMOS Milo,Pavé MOMOS,Milo,Cremosa,270,SI,FIG-HOR-MIL,,R-PAV-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-MBI-270,Cuchareable MOMOS Mango biche,Cuchareable MOMOS,Mango biche,Frutal,270,SI,FIG-HOR-MBI,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-COC-270,Cuchareable MOMOS Coco,Cuchareable MOMOS,Coco,Frutal,270,SI,FIG-HOR-COC,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-MAR-270,Cuchareable MOMOS Maracuyá,Cuchareable MOMOS,Maracuyá,Frutal,270,SI,FIG-HOR-MAR,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-LIM-270,Cuchareable MOMOS Limón,Cuchareable MOMOS,Limón,Frutal,270,SI,FIG-HOR-LIM,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-BAN-270,Cuchareable MOMOS Banano,Cuchareable MOMOS,Banano,Frutal,270,SI,FIG-HOR-BAN,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-DUR-270,Cuchareable MOMOS Durazno,Cuchareable MOMOS,Durazno,Frutal,270,SI,FIG-HOR-DUR,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-MNM-270,Cuchareable MOMOS M&M,Cuchareable MOMOS,M&M,Cremosa,270,SI,FIG-HOR-MNM,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-ORE-270,Cuchareable MOMOS Oreo,Cuchareable MOMOS,Oreo,Cremosa,270,SI,FIG-HOR-ORE,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-CSL-270,Cuchareable MOMOS Caramelo salado,Cuchareable MOMOS,Caramelo salado,Cremosa,270,SI,FIG-HOR-CSL,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-NUT-270,Cuchareable MOMOS Nutella,Cuchareable MOMOS,Nutella,Cremosa,270,SI,FIG-HOR-NUT,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CUC-MIL-270,Cuchareable MOMOS Milo,Cuchareable MOMOS,Milo,Cremosa,270,SI,FIG-HOR-MIL,,R-CUC-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-MBI-270,Sundae MOMOS Mango biche,Sundae MOMOS,Mango biche,Frutal,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-COC-270,Sundae MOMOS Coco,Sundae MOMOS,Coco,Frutal,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-MAR-270,Sundae MOMOS Maracuyá,Sundae MOMOS,Maracuyá,Frutal,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-LIM-270,Sundae MOMOS Limón,Sundae MOMOS,Limón,Frutal,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-BAN-270,Sundae MOMOS Banano,Sundae MOMOS,Banano,Frutal,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-DUR-270,Sundae MOMOS Durazno,Sundae MOMOS,Durazno,Frutal,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-MNM-270,Sundae MOMOS M&M,Sundae MOMOS,M&M,Cremosa,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-ORE-270,Sundae MOMOS Oreo,Sundae MOMOS,Oreo,Cremosa,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-CSL-270,Sundae MOMOS Caramelo salado,Sundae MOMOS,Caramelo salado,Cremosa,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-NUT-270,Sundae MOMOS Nutella,Sundae MOMOS,Nutella,Cremosa,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
SUN-MIL-270,Sundae MOMOS Milo,Sundae MOMOS,Milo,Cremosa,270,NO,,,R-SUN-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MAL-01-PEND,Malteada MOMOS Banano,Malteada MOMOS,Banano,Pendiente,,NO_DEFINIDO,,,R-MAL-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir tamaño comercial, leche por sabor y topping antes de sembrar BOM."
MAL-02-PEND,Malteada MOMOS Coco,Malteada MOMOS,Coco,Pendiente,,NO_DEFINIDO,,,R-MAL-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir tamaño comercial, leche por sabor y topping antes de sembrar BOM."
MAL-03-PEND,Malteada MOMOS Durazno,Malteada MOMOS,Durazno,Pendiente,,NO_DEFINIDO,,,R-MAL-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir tamaño comercial, leche por sabor y topping antes de sembrar BOM."
MAL-04-PEND,Malteada MOMOS M&M,Malteada MOMOS,M&M,Pendiente,,NO_DEFINIDO,,,R-MAL-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir tamaño comercial, leche por sabor y topping antes de sembrar BOM."
MAL-05-PEND,Malteada MOMOS Oreo,Malteada MOMOS,Oreo,Pendiente,,NO_DEFINIDO,,,R-MAL-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir tamaño comercial, leche por sabor y topping antes de sembrar BOM."
MAL-06-PEND,Malteada MOMOS Caramelo salado,Malteada MOMOS,Caramelo salado,Pendiente,,NO_DEFINIDO,,,R-MAL-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir tamaño comercial, leche por sabor y topping antes de sembrar BOM."
MAL-07-PEND,Malteada MOMOS Nutella,Malteada MOMOS,Nutella,Pendiente,,NO_DEFINIDO,,,R-MAL-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir tamaño comercial, leche por sabor y topping antes de sembrar BOM."
MAL-08-PEND,Malteada MOMOS Milo,Malteada MOMOS,Milo,Pendiente,,NO_DEFINIDO,,,R-MAL-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir tamaño comercial, leche por sabor y topping antes de sembrar BOM."
CRZ-01-PEND,Crazy Rush Mango biche chamoy,Crazy Rush,Mango biche chamoy,Pendiente,,NO_DEFINIDO,,,R-CRZ-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir fórmula final por sabor, tamaño de vaso y gramaje de fruta macerada."
CRZ-02-PEND,Crazy Rush Manzana verde chamoy,Crazy Rush,Manzana verde chamoy,Pendiente,,NO_DEFINIDO,,,R-CRZ-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir fórmula final por sabor, tamaño de vaso y gramaje de fruta macerada."
CRZ-03-PEND,Crazy Rush Fresa chamoy,Crazy Rush,Fresa chamoy,Pendiente,,NO_DEFINIDO,,,R-CRZ-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir fórmula final por sabor, tamaño de vaso y gramaje de fruta macerada."
CRZ-04-PEND,Crazy Rush Piña-mango,Crazy Rush,Piña-mango,Pendiente,,NO_DEFINIDO,,,R-CRZ-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir fórmula final por sabor, tamaño de vaso y gramaje de fruta macerada."
CRZ-05-PEND,Crazy Rush Maracuyá,Crazy Rush,Maracuyá,Pendiente,,NO_DEFINIDO,,,R-CRZ-PED,AL_PREPARAR,CONSUMO_INMEDIATO,PREPARAR_AL_PEDIDO,PENDIENTE_FICHA_TECNICA,NO,"Definir fórmula final por sabor, tamaño de vaso y gramaje de fruta macerada."
YGB-01-PEND,Yogurt Bites Base frutal,Yogurt Bites,Base frutal,Pendiente,,NO_DEFINIDO,,,R-YGB-CONG,AL_FABRICAR,CONGELADO,PRODUCIR_PARA_STOCK,PENDIENTE_FICHA_TECNICA,NO,Receta y peso por empaque todavía en prueba.
